Time	pitch	roll	yawt	magErr	temperature	magp X	magp Y	magp Z	accelp X	accelp Y	accelp Z	gyrop X	gyrop Y	gyrop Z
440	-0.00520544	0.48338163	359.78939819	1.87122858	29.87100220	246.03617859	54.69246292	389.81536865	-0.19453001	7.63217449	998.74432373	-0.00000141	-0.00003641	-0.00005353	
460	-0.00819967	0.48582116	359.79067993	1.29575646	29.87100220	247.43791199	54.64531326	388.79129028	-0.07688618	8.60383606	999.45874023	0.00003560	-0.00001151	-0.00002701	
480	-0.00673125	0.48483351	359.78726196	0.57646519	29.87100220	246.90049744	56.42078018	389.04919434	1.38596582	7.52876759	998.88006592	-0.00000297	0.00001718	-0.00000743	
500	-0.00417931	0.48711607	359.78640747	0.29847223	29.87100220	247.52674866	56.21736526	389.16662598	0.29017448	8.12374687	999.22680664	-0.00000688	-0.00004623	0.00001499	
520	-0.00682399	0.48665804	359.78616333	0.60746765	29.87100220	246.61228943	56.15719604	389.09179688	-0.31899881	8.23630142	999.09783936	0.00002245	-0.00000410	-0.00002546	
540	-0.00525192	0.49104503	359.77569580	0.43255797	29.87100220	246.80787659	56.36334991	388.32727051	1.21114111	8.88794136	998.89178467	0.00002622	0.00000965	-0.00002110	
560	-0.00263839	0.49109113	359.76913452	0.61582893	29.87100220	247.19714355	55.78879166	387.93258667	-0.07101679	7.51504612	998.86981201	0.00003092	0.00000053	0.00003229	
580	-0.00396140	0.49069270	359.77069092	1.11859202	29.87100220	246.95802307	54.84759140	388.28979492	0.06081724	8.39104176	1001.29772949	-0.00004887	-0.00003318	-0.00002084	
600	-0.00649013	0.48555014	359.76882935	0.23279294	29.87100220	246.56944275	55.73366547	388.30581665	0.18180513	7.65820980	1000.33563232	0.00005359	-0.00005897	-0.00003567	
620	-0.01070075	0.48805395	359.77197266	0.86100620	29.87100220	246.62524414	55.04771805	387.23831177	-1.28848076	8.71936703	999.93658447	-0.00001731	0.00003313	0.00002786	
640	-0.00623804	0.48838761	359.77059937	0.15294057	29.87100220	246.09169006	55.93326950	387.36203003	-0.19689322	8.36093235	999.34063721	-0.00003576	0.00004221	0.00000313	
660	-0.00576832	0.48796013	359.77355957	0.70003468	29.87100220	245.94386292	56.40486145	387.70336914	-0.08480406	8.83342361	998.72058105	0.00000425	0.00000109	-0.00000957	
680	-0.00624319	0.49308050	359.77401733	0.44323570	29.87100220	246.32919312	56.30374908	387.76348877	-0.34304190	10.02428627	998.20538330	0.00005529	0.00003453	0.00002277	
700	-0.00032860	0.49712807	359.77227783	0.67132282	29.87100220	246.23400879	55.36439896	388.23410034	0.66608238	7.41580772	999.85516357	-0.00003121	-0.00000196	-0.00004155	
720	0.00079642	0.48820305	359.77038574	0.71133590	29.87100220	247.43623352	55.94902802	388.16268921	0.25285625	8.57731438	1000.19512939	0.00001169	0.00002358	-0.00001434	
740	0.00165597	0.48871642	359.77020264	0.58378303	29.87100220	246.80236816	56.26606369	389.54067993	-0.55555725	8.36793423	1000.07128906	-0.00001824	-0.00000622	0.00003501	
760	-0.00023478	0.48736960	359.77432251	1.31640136	29.87100220	246.23149109	54.89895248	389.10610962	1.87157774	8.51081467	1000.08593750	0.00001858	0.00000861	0.00004134	
780	0.00016860	0.49022615	359.77536011	1.01442492	29.87100220	247.00576782	54.95260239	388.29351807	-0.79421425	8.61784172	1000.92016602	-0.00000677	0.00000707	-0.00001779	
800	0.00149340	0.49156937	359.77484131	1.01745415	29.87100220	247.34288025	55.16360855	388.13992310	1.02961206	7.78448582	1000.21697998	0.00001577	-0.00001349	-0.00002829	
